id_programa,nombre_programa,id_area,area_conocimiento_original
150,TÉCNICO LABORAL EN OPERACIONES LOGISTICAS,11,FINANZAS Y ADMINISTRACIÓN
151,TÉCNICO LABORAL EN SALUD OCUPACIONAL,3,VENTAS Y SERVICIOS
152,CONOCIMIENTOS ACADÉMICOS EN VENTAS:MAS VENTAS,3,No especificada
153,INGLES NIVEL B2 INTERMEDIO,28,No especificada
154,TÉCNICO LABORAL EN AUXILIAR EN ELECTRONICA,12,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
155,TÉCNICO LABORAL EN CONTABILIDAD Y FINANZAS,2,FINANZAS Y ADMINISTRACIÓN
156,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL B1,28,No especificada
157,TÉCNICO LABORAL POR COMPETENCIAS EN ASISTENTE AGROPECUARIO,23,EXPLOTACIÓN PRIMARIA Y EXTRACTIVA
158,TECNICO LABORAL EN ASISTENTE CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
159,TÉCNICO LABORAL FORMACION ACADEMICA EN MUSICA,21,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
160,CONOCIMIENTOS ACADÉMICOS EN PREUNIVERSITARIO UNIVERSIDAD NACIONAL,28,No especificada
161,TECNICO LABORAL EN DISEÑO Y ELABORACION DE PRODUCTOS EN MADERA,22,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
162,TÉCNICO LABORAL EN EMPLEADO JUDICIAL,3,VENTAS Y SERVICIOS
163,TÉCNICO LABORAL EN AUXILIAR CONTABLE,2,FINANZAS Y ADMINISTRACIÓN
164,TÉCNICO LABORAL EN AUXILIAR CORPORAL,3,VENTAS Y SERVICIOS
165,TÉCNICO LABORAL COMO AUXILIAR VETERINARIO,3,VENTAS Y SERVICIOS
166,TÉCNICO LABORAL EN AUXILIAR DE TALENTO HUMANO,1,FINANZAS Y ADMINISTRACIÓN
167,TÉCNICO LABORAL POR COMPETENCIAS EN CUIDADO ESTETICO DE MANOS Y PIES,13,No especificada
168,TECNICO LABORAL POR COMPETENCIAS EN ASISTENCIA ADMINISTRATIVA,1,FINANZAS Y ADMINISTRACIÓN
169,TÉCNICO LABORAL COMO BOMBERO,19,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
170,CONOCIMIENTOS ACADÉMICOS EN DANZA EN PERSONAS CON DISCAPACIDAD,28,No especificada
171,TÉCNICO LABORAL EN PELUQUERIA,6,VENTAS Y SERVICIOS
172,TÉCNICO LABORAL EN COSMETOLOGÍA Y ESTÉTICA INTEGRAL,3,VENTAS Y SERVICIOS
173,CONOCIMIENTOS ACADÉMICOS EN EL ÁREA DEL IDIOMA INGLES,28,No especificada
174,TECNICO LABORAL EN PRODUCCION DE MEDIOS,11,VENTAS Y SERVICIOS
175,TÉCNICO LABORAL EN PELUQUERIA,6,VENTAS Y SERVICIOS
176,TÉCNICO LABORAL EN MAQUILLAJE ARTÍSTICO Y DECORATIVO,6,VENTAS Y SERVICIOS
177,TÉCNICO LABORAL EN AUXILIAR EN DISEÑO GRAFICO,22,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE"
178,TÉCNICO LABORAL EN AUXILIAR CONTABLE,2,FINANZAS Y ADMINISTRACIÓN
179,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL A1-A2,28,No especificada
180,TÉCNICO LABORAL EN MERCADEO Y VENTAS,3,VENTAS Y SERVICIOS
181,TECNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
182,TÉCNICO LABORAL EN CONSTRUCCION DE OBRAS CIVILES,10,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
183,TÉCNICO LABORAL POR COMPETENCIAS EN SECRETARIADO EJECUTIVO,1,FINANZAS Y ADMINISTRACIÓN
185,TÉCNICO LABORAL POR COMPETENCIAS EN SALUD OCUPACIONAL,3,VENTAS Y SERVICIOS
186,TÉCNICO LABORAL EN PREPARACION FISICA Y ENTRENAMIENTO DEPORTIVO,27,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES"
187,CONOCIMIENTOS ACADÉMICOS EN ÉL IDIOMA PORTUGUÉS NIVEL A1,28,No especificada
188,TÉCNICO LABORAL POR COMPETENCIAS EN ASISTENTE SOCIAL PARA LA SEGURIDAD,18,VENTAS Y SERVICIOS
189,TÉCNICO LABORAL POR COMPETENCIAS EN SOLDADURA,27,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
190,CONOCIMIENTOS ACADÉMICOS EN ORGANIZACIÓN COMUNAL,28,No especificada
191,CONOCIMIENTOS ACADÉMICOS EN DERECHOS HUMANOS Y CIUDADANÍA,28,No especificada
192,TÉCNICO LABORAL COMO ELECTRICISTA Y ELECTRÓNICO AUTOMOTRIZ,26,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
193,TÉCNICO LABORAL EN AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
